 	Alpharetta, GA	Arlington Heights, IL	Baton Rouge, LA	Billings, MT	Bowling Green, KY	Buena Park, CA	Carson, CA	Charleston, SC	City of Sammamish, WA	Compton, CA	Cypress, CA	Delray Beach, FL	East Brunswick, NJ	Edmond, OK	Euless, TX	Florin, CA	Fresno, CA	Goodyear, AZ	Hamilton, OH	Highland, CA	Iowa City, IA	Joplin, MO	Kissimmee, FL	Lakewood, NJ	Lenexa, KS	Loveland, CO	Marietta, GA	Metairie Terrace, LA	Mission Viejo, CA	Nampa, ID	Noblesville, IN	Oak Lawn, IL	Ozone Park, NY	Paterson, NJ	Pittsburg, CA	Portland, ME	Redmond, WA	Rock Hill, SC	Saint George, UT	San Marcos, TX	Schaumburg, IL	South Gate, CA	Springfield, OR	Tacoma, WA	Tigard, OR	Tyler, TX	Waldorf, MD	West Coon Rapids, MN	Wheaton, MD
Paterson, NJ	947.62	934.48	1795.31	2221.8	937.69	3068.97	3092.23	798.44	3408.33	3085.24	3084.68	1245.87	53.6	1931.27	1655.85	3460.84	3307.72	2722.22	780.13	3021.44	1098.53	1387.61	1108.13	78.36	1387.88	1894.26	969.37	1867.8	3088.4	2948.46	837.38	892.52	43.61		3443.35	364.82	3415.87	725.03	3058.67	1861.03	930.94	3083.6	3464.9	3431.67	3364.75	1624.24	257.29	1388.29	237.61
Pittsburg, CA	2722.35	2806.35	2348.05	1235.91	2601.37	389.9	379.14	2986.57	808.25	378.22	391.89	3165.3	3427.57	1981.53	1787.2	63.36	159.0	722.01	2822.2	436.07	2794.3	2185.76	3001.21	3436.16	2303.72	1229.48	2706.01	2420.54	425.83	600.68	2802.92	2780.92	3503.29	3462.2		3824.5	805.77	2934.1	680.1	1747.89	2802.8	372.42	513.93	765.32	615.53	1911.82	3235.5	2064.85	3217.79
Portland, ME	1295.79	1275.15	2165.4	2562.47	1307.78	3439.06	3462.32	1146.6	3748.99	3455.33	3454.77	1594.03	401.76	2301.36	2025.94	3830.93	3677.81	3092.31	1120.79	3391.53	1439.2	1757.7	1456.29	426.52	1728.55	2234.93	1317.53	2237.89	3458.49	3289.13	1178.05	1233.19	383.47	371.7	3813.44		3756.54	1073.19	3428.76	2231.12	1271.6	3453.69	3805.57	3772.34	3705.42	1994.33	605.46	1728.95	585.78
Redmond, WA	3319.04	2434.2	3639.14	1195.41	2986.13	1372.93	1396.19	3684.83	7.72	1389.2	1388.64	4456.39	3373.55	2628.53	3078.28	775.15	935.03	1385.36	2767.55	1332.33	2333.4	2390.84	4292.29	3406.38	2247.62	1703.67	3997.1	3711.63	1392.36	474.47	2653.52	2470.22	3407.45	3369.48	806.21	3703.7		3519.98	1185.37	3038.98	2440.4	1387.56	293.67	42.83	192.88	3202.9	3273.31	2024.35	3233.44
Rock Hill, SC	225.6	878.57	791.01	2165.88	482.97	2532.49	2555.75	185.37	3789.86	2548.75	2548.19	646.54	677.83	1394.79	1119.37	2924.35	2771.23	2185.73	517.54	2484.95	1042.61	1010.26	508.8	676.93	1237.52	2503.26	247.35	807.77	2551.91	3329.99	674.05	836.61	746.5	724.58	2906.86	1067.81	3797.4		2522.18	1324.54	875.02	2547.11	3846.43	3813.21	3746.28	942.12	468.01	1332.37	491.01
Saint George, UT	2337.47	2421.48	1963.18	943.52	2216.49	388.06	411.32	2601.7	1118.47	404.32	403.77	2780.43	3042.69	1596.66	1402.33	673.17	516.92	400.49	2437.33	347.45	1448.19	1800.89	2616.34	3051.28	1257.08	700.14	2321.14	2035.67	407.49	658.6	2418.05	2396.05	3118.42	3077.32	679.77	3439.63	1126.02	2549.23		1363.02	2417.93	402.68	1175.04	1141.82	1074.9	1526.95	2850.63	1772.46	2832.92
San Marcos, TX	1122.56	1206.56	748.26	1845.0	1001.58	1372.55	1395.81	1386.78	2629.92	1388.81	1388.25	1565.52	1827.78	506.17	239.21	1764.41	1611.29	1025.79	1222.41	1325.01	1194.52	610.33	1401.42	1836.37	741.12	1343.32	1106.23	820.75	1391.97	2170.05	1203.13	1181.14	1903.5	1862.41	1746.92	2224.71	2637.46	1334.31	1362.24		1203.01	1387.17	2686.49	2653.27	2586.34	312.03	1635.71	1553.19	1618.0
Schaumburg, IL	827.54	10.76	1271.03	1363.91	494.63	2544.69	2567.95	1030.9	2550.44	2560.95	2560.39	1454.82	940.0	1406.99	1131.57	2936.55	2783.43	2197.94	333.99	2497.15	240.64	592.38	1280.95	972.82	529.74	1036.37	814.99	1343.52	2564.11	2090.57	219.96	36.66	973.89	935.92	2919.07	1270.15	2557.98	866.05	2534.39	1336.75		2559.31	2607.01	2573.79	2506.86	1099.95	839.75	530.4	799.88
South Gate, CA	2362.67	2446.68	1988.38	1345.0	2241.69	18.56	13.61	2626.9	1282.51	5.45	20.55	2805.63	3067.89	1621.86	1427.52	389.45	236.33	362.34	2462.52	76.39	2434.63	1826.09	2641.53	3076.48	1944.04	1101.61	2346.34	2060.87	54.49	839.78	2443.24	2421.25	3143.62	3102.52	371.96	3464.82	1290.05	2574.43	403.02	1388.22	2443.13		867.99	1119.38	969.58	1552.15	2875.83	2173.94	2858.11
Springfield, OR	3368.07	2483.23	3688.17	1244.44	3035.16	885.49	874.72	3733.86	295.09	873.81	887.47	4505.42	3422.58	2677.56	3127.31	482.89	642.77	1217.6	2816.58	931.65	2382.43	2439.87	4341.32	3455.41	2296.65	1752.7	4046.13	3760.66	921.41	523.5	2702.55	2519.25	3456.48	3418.51	513.95	3752.73	292.61	3569.01	1234.4	3088.01	2489.43	868.01		252.16	102.36	3251.93	3322.34	2073.38	3282.47
Tacoma, WA	3334.83	2449.99	3654.92	1211.2	3001.91	1136.87	1126.11	3700.61	44.92	1125.2	1138.86	4472.17	3389.34	2644.31	3094.07	734.27	894.15	1401.15	2783.34	1348.11	2349.19	2406.63	4308.08	3422.17	2263.41	1719.46	4012.88	3727.41	1172.8	490.25	2669.31	2486.0	3423.23	3385.27	765.34	3719.49	42.44	3535.76	1201.16	3054.76	2456.18	1119.4	252.79		152.01	3218.69	3289.09	2040.14	3249.23
Tigard, OR	3268.97	2384.13	3589.07	1145.34	2936.06	987.08	976.32	3634.76	195.14	975.41	989.07	4406.32	3323.49	2578.46	3028.22	584.48	744.36	1335.29	2717.49	1033.25	2283.34	2340.78	4242.23	3356.31	2197.56	1653.6	3947.03	3661.56	1023.01	424.4	2603.45	2420.15	3357.38	3319.41	615.54	3653.64	192.66	3469.91	1135.31	2988.91	2390.33	969.6	103.0	152.21		3152.84	3223.24	1974.28	3183.37
Tyler, TX	727.83	965.27	353.68	2008.71	760.29	1536.26	1559.52	992.06	2793.63	1552.52	1551.96	1170.79	1586.49	398.55	123.13	1928.12	1775.0	1189.5	981.12	1488.72	953.23	376.45	1006.69	1595.08	507.24	1507.03	711.5	426.17	1555.68	2333.76	961.84	939.85	1662.22	1621.12	1910.63	1983.42	2801.17	939.58	1525.95	258.79	961.73	1550.88	2850.2	2816.97	2750.05		1394.42	1311.9	1376.71
Waldorf, MD	689.26	826.29	1600.47	2113.61	742.85	2874.14	2897.4	540.07	3300.14	2890.4	2889.84	987.5	213.56	1736.44	1461.01	3266.0	3112.88	2527.38	564.82	2826.6	990.34	1192.77	849.76	212.67	1213.73	2844.91	711.0	1672.96	2893.56	2840.27	662.59	784.33	282.23	260.31	3248.51	603.54	3307.68	466.66	2863.83	1666.19	822.75	2888.76	3356.71	3323.49	3256.56	1429.4		1280.1	37.54
West Coon Rapids, MN	1300.44	415.6	1606.96	847.4	967.53	2880.63	2903.89	1666.23	2033.93	2896.89	2896.33	1927.72	1354.96	802.12	1467.5	2025.49	2185.37	2533.87	748.95	2833.09	321.45	623.99	1753.85	1387.78	480.21	1099.34	1287.89	1679.45	2900.05	1574.06	634.92	451.62	1388.85	1350.88	2081.66	1685.11	2041.47	1501.38	1789.25	1672.68	421.8	2895.25	2090.5	2057.28	1990.35	1435.89	1254.71		1214.84
Wheaton, MD	711.67	786.82	1549.51	2074.13	691.89	2823.17	2846.43	562.48	3260.66	2839.44	2838.88	1009.92	189.25	1685.47	1410.05	3215.04	3061.92	2476.42	525.35	2775.64	950.86	1141.81	872.17	188.35	1174.26	2793.94	733.42	1622.0	2842.6	2800.79	623.12	744.86	257.92	236.0	3197.55	579.23	3268.2	489.08	2812.87	1615.23	783.27	2837.8	3317.23	3284.01	3217.09	1378.44	36.47	1240.62	
